original_name	short_name
Enumerator's name	enumerator
Do you give consent to proceed with this survey?	consent
GPS location	gps
_GPS location_latitude	gps_location_latitude
_GPS location_longitude	gps_location_longitude
_GPS location_altitude	gps_location_altitude
_GPS location_precision	gps_location_precision
How far is the facility from the distribution lines of the grid? (in km)	grid_distance
What is the name of the facility?	facility_name
Facility ID	facility_id
In which region is the facility located?	region
In which district is the facility located?	district
What type of facility is this?...13	what_type_of_facility_is_this_13
What type of facility is this?...14	what_type_of_facility_is_this_14
What is the managing authority of the facility?...15	what_is_the_managing_authority_of_the_facility_15
What is the managing authority of the facility?...16	what_is_the_managing_authority_of_the_facility_16
Is the facility located in an urban or rural area?	urban_rural_location
Is the facility outpatient only?	outpatient_only
Is there a 24/7 maternity ward?	maternity_ward
What is the catchment population size of the facility?	catchment_population_size
What is the catchment area of the facility?	catchment_area
"On average, how many patients visit the facility per day?"	patients_per_day
How does the patient population vary over the year? Is there a busy season/which season is the busiest?	patient_population_seasonality
How does the patient population vary over the year? Is there a busy season/which season is the busiest?/Hot & Wet Season (November - April)	patient_population_seasonality_hotwetseason
How does the patient population vary over the year? Is there a busy season/which season is the busiest?/Cool & Dry Season (May - August)	patient_population_seasonality_colddryseason
How does the patient population vary over the year? Is there a busy season/which season is the busiest?/Hot & Dry Season (September - October)	patient_population_seasonality_hotdryseason
How does the patient population vary over the year? Is there a busy season/which season is the busiest?/No significant variation	patient_population_seasonality_no_significant_variation
How does the patient population vary over the year? Is there a busy season/which season is the busiest?/Don't know	patient_population_seasonality_dont_know
Which days of the week is the facility open to patients?	weekdays
Which days of the week is the facility open to patients?/Monday	weekdays_monday
Which days of the week is the facility open to patients?/Tuesday	weekdays_tuesday
Which days of the week is the facility open to patients?/Wednesday	weekdays_wednesday
Which days of the week is the facility open to patients?/Thursday	weekdays_thursday
Which days of the week is the facility open to patients?/Friday	weekdays_friday
Which days of the week is the facility open to patients?/Saturday	weekdays_saturday
Which days of the week is the facility open to patients?/Sunday	weekdays_sunday
Which days of the week is the facility open to patients?/Don't know	weekdays_dont_know
Which days are the busiest per week on average?	busiest_days_of_week
Which days are the busiest per week on average?/Monday	busiest_days_of_week_monday
Which days are the busiest per week on average?/Tuesday	busiest_days_of_week_tuesday
Which days are the busiest per week on average?/Wednesday	busiest_days_of_week_wednesday
Which days are the busiest per week on average?/Thursday	busiest_days_of_week_thursday
Which days are the busiest per week on average?/Friday	busiest_days_of_week_friday
Which days are the busiest per week on average?/Saturday	busiest_days_of_week_saturday
Which days are the busiest per week on average?/Sunday	busiest_days_of_week_sunday
Which days are the busiest per week on average?/Don't know	busiest_days_of_week_dont_know
"On average, how many hours per day is this facility open?"	facility_open_hours_per_day
How long do outpatients stay in the clinic on average? (hours)	outpatient_stay_duration
How long is the average consultation?	consultation_duration
How do patients get to the clinic?	patient_transport_mode
How do patients get to the clinic?/Foot	patient_transport_mode_foot
How do patients get to the clinic?/Bicycle	patient_transport_mode_bicycle
How do patients get to the clinic?/Car (private/taxi)	patient_transport_mode_car
How do patients get to the clinic?/Bus (public transport)	patient_transport_mode_bus
How do patients get to the clinic?/Shuttle (facility-provided)	patient_transport_mode_shuttle
How do patients get to the clinic?/Motorbike	patient_transport_mode_motorbike
